message_id,action,message_type,reason,confidence,evidence_message_ids
msg_055,digest,event,General group discussion batched for digest.,0.82,message_0165
msg_102,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0169
msg_080,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_093,digest,business_update,"Message arrived during user quiet hours, batched into digest.",0.82,none
msg_034,mute,event,Message received from a group chat muted by the user.,0.82,message_0040
msg_035,digest,business_update,Routine business notification queued for digest.,0.82,message_0281
msg_101,digest,personal,"Message arrived during user quiet hours, batched into digest.",0.82,message_0229
msg_041,mute,scam,Suspicious domain mismatch: sender domain 'weurl.co' does not match official domain 'polaris.school'.,0.93,none
msg_011,mute,event,Message received from a group chat muted by the user.,0.82,message_0040
msg_110,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0381
msg_095,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0183
msg_074,mute,event,Message received from a group chat muted by the user.,0.82,message_0203
msg_073,digest,event,General group discussion batched for digest.,0.82,message_0183
msg_054,digest,event,General group discussion batched for digest.,0.82,message_0163
msg_068,digest,event,General group discussion batched for digest.,0.82,message_0192
msg_100,notify,personal,Personal direct message routed for immediate user notification.,0.82,message_0249
msg_062,digest,event,"Message arrived during user quiet hours, batched into digest.",0.82,message_0180
msg_096,notify,personal,Personal direct message routed for immediate user notification.,0.82,none
msg_043,digest,event,General group discussion batched for digest.,0.82,message_0180
msg_077,digest,event,"Message arrived during user quiet hours, batched into digest.",0.82,message_0134
msg_081,digest,event,General group discussion batched for digest.,0.82,message_0217
msg_025,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0004
msg_084,mute,business_update,Promotional messages from business accounts muted by user preference.,0.82,message_0220
msg_022,digest,event,General group discussion batched for digest.,0.82,message_0100
